C:\Users\bellisd\Documents\gitrepos\cuda-nersc-training-series\hw01\x64\Release>hw01.exe
A[0] = 0.066406, B[0] = 0.520508, C[0] = 0.586914
A[420] = 0.292480, B[420] = 0.862793, C[420] = 1.155273
A[421] = 0.205078, B[421] = 0.250977, C[421] = 0.456055
A[422] = 0.909180, B[422] = 0.603027, C[422] = 1.512207
A[423] = 0.176758, B[423] = 0.808105, C[423] = 0.984863
A[424] = 0.006836, B[424] = 0.173828, C[424] = 0.180664
A[425] = 0.237305, B[425] = 0.004883, C[425] = 0.242188
A[426] = 0.032227, B[426] = 0.336914, C[426] = 0.369141
A[427] = 0.398926, B[427] = 0.666016, C[427] = 1.064941
A[428] = 0.367676, B[428] = 0.237305, C[428] = 0.604980
A[429] = 0.741699, B[429] = 0.965820, C[429] = 1.707520
A[430] = 0.375000, B[430] = 0.281250, C[430] = 0.656250
A[431] = 0.871582, B[431] = 0.250488, C[431] = 1.122070
A[432] = 0.335938, B[432] = 0.199707, C[432] = 0.535645
A[433] = 0.355957, B[433] = 0.825195, C[433] = 1.181152
A[434] = 0.085938, B[434] = 0.701660, C[434] = 0.787598
A[435] = 0.244141, B[435] = 0.502441, C[435] = 0.746582
A[436] = 0.665039, B[436] = 0.289062, C[436] = 0.954102
A[437] = 0.417480, B[437] = 0.274414, C[437] = 0.691895
A[438] = 0.375000, B[438] = 0.411621, C[438] = 0.786621
A[439] = 0.101562, B[439] = 0.423340, C[439] = 0.524902
A[440] = 0.262695, B[440] = 0.581055, C[440] = 0.843750
A[441] = 0.458496, B[441] = 0.106934, C[441] = 0.565430
A[442] = 0.451660, B[442] = 0.346191, C[442] = 0.797852
A[443] = 0.665527, B[443] = 0.838867, C[443] = 1.504395
A[444] = 0.896973, B[444] = 0.454590, C[444] = 1.351562
A[445] = 0.613770, B[445] = 0.363770, C[445] = 0.977539
A[446] = 0.904297, B[446] = 0.624512, C[446] = 1.528809
A[447] = 0.992676, B[447] = 0.936035, C[447] = 1.928711
A[448] = 0.698730, B[448] = 0.399414, C[448] = 1.098145
A[449] = 0.946777, B[449] = 0.332031, C[449] = 1.278809
A[450] = 0.078125, B[450] = 0.948242, C[450] = 1.026367
A[451] = 0.628906, B[451] = 0.783691, C[451] = 1.412598
A[452] = 0.856445, B[452] = 0.959473, C[452] = 1.815918
A[453] = 0.143555, B[453] = 0.575195, C[453] = 0.718750
A[454] = 0.023926, B[454] = 0.268066, C[454] = 0.291992
A[455] = 0.545410, B[455] = 0.785645, C[455] = 1.331055
A[456] = 0.557129, B[456] = 0.475586, C[456] = 1.032715
A[457] = 0.929688, B[457] = 0.890625, C[457] = 1.820312
A[458] = 0.634277, B[458] = 0.509766, C[458] = 1.144043
A[459] = 0.895996, B[459] = 0.757812, C[459] = 1.653809
A[460] = 0.678223, B[460] = 0.986328, C[460] = 1.664551
A[461] = 0.077637, B[461] = 0.174316, C[461] = 0.251953
A[462] = 0.320801, B[462] = 0.388672, C[462] = 0.709473
A[463] = 0.429688, B[463] = 0.727051, C[463] = 1.156738
A[464] = 0.337891, B[464] = 0.842285, C[464] = 1.180176
A[465] = 0.480957, B[465] = 0.346680, C[465] = 0.827637
A[466] = 0.663086, B[466] = 0.230957, C[466] = 0.894043
A[467] = 0.534180, B[467] = 0.297852, C[467] = 0.832031
A[468] = 0.044434, B[468] = 0.044922, C[468] = 0.089355
A[469] = 0.284180, B[469] = 0.956055, C[469] = 1.240234
A[470] = 0.631836, B[470] = 0.129395, C[470] = 0.761230
A[471] = 0.073730, B[471] = 0.241699, C[471] = 0.315430
A[472] = 0.575684, B[472] = 0.178711, C[472] = 0.754395
A[473] = 0.883789, B[473] = 0.647949, C[473] = 1.531738
A[474] = 0.376465, B[474] = 0.806641, C[474] = 1.183105
A[475] = 0.324707, B[475] = 0.471191, C[475] = 0.795898
A[476] = 0.425781, B[476] = 0.142578, C[476] = 0.568359
A[477] = 0.038086, B[477] = 0.164062, C[477] = 0.202148
A[478] = 0.395508, B[478] = 0.622559, C[478] = 1.018066
A[479] = 0.006348, B[479] = 0.482422, C[479] = 0.488770
A[480] = 0.866699, B[480] = 0.752441, C[480] = 1.619141
A[481] = 0.703125, B[481] = 0.544922, C[481] = 1.248047
A[482] = 0.942383, B[482] = 0.863770, C[482] = 1.806152
A[483] = 0.650879, B[483] = 0.328613, C[483] = 0.979492
A[484] = 0.435547, B[484] = 0.775879, C[484] = 1.211426
A[485] = 0.849609, B[485] = 0.125000, C[485] = 0.974609
A[486] = 0.449707, B[486] = 0.008301, C[486] = 0.458008
A[487] = 0.835449, B[487] = 0.096191, C[487] = 0.931641
A[488] = 0.319336, B[488] = 0.003418, C[488] = 0.322754
A[489] = 0.680176, B[489] = 0.500488, C[489] = 1.180664
A[490] = 0.567383, B[490] = 0.704102, C[490] = 1.271484
A[491] = 0.045410, B[491] = 0.854980, C[491] = 0.900391
A[492] = 0.812500, B[492] = 0.756348, C[492] = 1.568848
A[493] = 0.085449, B[493] = 0.004395, C[493] = 0.089844
A[494] = 0.750000, B[494] = 0.823730, C[494] = 1.573730
A[495] = 0.591797, B[495] = 0.759766, C[495] = 1.351562
A[496] = 0.195312, B[496] = 0.543945, C[496] = 0.739258
A[497] = 0.397949, B[497] = 0.474609, C[497] = 0.872559
A[498] = 0.876953, B[498] = 0.264648, C[498] = 1.141602
A[499] = 0.616211, B[499] = 0.115234, C[499] = 0.731445
A[500] = 0.093750, B[500] = 0.663086, C[500] = 0.756836
A[501] = 0.510742, B[501] = 0.520996, C[501] = 1.031738
A[502] = 0.129395, B[502] = 0.735352, C[502] = 0.864746
A[503] = 0.682129, B[503] = 0.527344, C[503] = 1.209473
A[504] = 0.674316, B[504] = 0.247070, C[504] = 0.921387
A[505] = 0.694824, B[505] = 0.731445, C[505] = 1.426270
A[506] = 0.728516, B[506] = 0.413574, C[506] = 1.142090
A[507] = 0.219238, B[507] = 0.085449, C[507] = 0.304688
A[508] = 0.541992, B[508] = 0.019531, C[508] = 0.561523
A[509] = 0.463867, B[509] = 0.802734, C[509] = 1.266602
A[510] = 0.832520, B[510] = 0.985840, C[510] = 1.818359
A[511] = 0.102051, B[511] = 0.928223, C[511] = 1.030273
A[512] = 0.753906, B[512] = 0.933594, C[512] = 1.687500
A[513] = 0.081055, B[513] = 0.224121, C[513] = 0.305176
A[514] = 0.295410, B[514] = 0.169434, C[514] = 0.464844
A[515] = 0.326660, B[515] = 0.146973, C[515] = 0.473633
A[516] = 0.936035, B[516] = 0.549316, C[516] = 1.485352
A[517] = 0.993652, B[517] = 0.330078, C[517] = 1.323730
A[518] = 0.610840, B[518] = 0.715820, C[518] = 1.326660
A[519] = 0.941895, B[519] = 0.061523, C[519] = 1.003418
A[520] = 0.360352, B[520] = 0.894043, C[520] = 1.254395
A[521] = 0.110352, B[521] = 0.406738, C[521] = 0.517090
A[522] = 0.601074, B[522] = 0.340332, C[522] = 0.941406
A[523] = 0.486816, B[523] = 0.455566, C[523] = 0.942383
A[524] = 0.320312, B[524] = 0.523438, C[524] = 0.843750
A[525] = 0.754395, B[525] = 0.756348, C[525] = 1.510742
A[526] = 0.254395, B[526] = 0.828125, C[526] = 1.082520
A[527] = 0.025391, B[527] = 0.773438, C[527] = 0.798828
A[528] = 0.063965, B[528] = 0.857910, C[528] = 0.921875
A[529] = 0.767090, B[529] = 0.239746, C[529] = 1.006836
A[530] = 0.429688, B[530] = 0.386719, C[530] = 0.816406
A[531] = 0.067383, B[531] = 0.038086, C[531] = 0.105469
A[532] = 0.997559, B[532] = 0.031250, C[532] = 1.028809
A[533] = 0.842773, B[533] = 0.370605, C[533] = 1.213379
A[534] = 0.796875, B[534] = 0.703613, C[534] = 1.500488
A[535] = 0.682129, B[535] = 0.490234, C[535] = 1.172363
A[536] = 0.838379, B[536] = 0.653809, C[536] = 1.492188
A[537] = 0.085449, B[537] = 0.323730, C[537] = 0.409180
A[538] = 0.866699, B[538] = 0.280762, C[538] = 1.147461
A[539] = 0.860352, B[539] = 0.938477, C[539] = 1.798828
A[540] = 0.607422, B[540] = 0.961914, C[540] = 1.569336
A[541] = 0.583008, B[541] = 0.418945, C[541] = 1.001953
A[542] = 0.461426, B[542] = 0.232422, C[542] = 0.693848
A[543] = 0.374023, B[543] = 0.714844, C[543] = 1.088867
A[544] = 0.921875, B[544] = 0.353516, C[544] = 1.275391
A[545] = 0.149414, B[545] = 0.854004, C[545] = 1.003418
A[546] = 0.317871, B[546] = 0.785156, C[546] = 1.103027
A[547] = 0.435059, B[547] = 0.083984, C[547] = 0.519043
A[548] = 0.939941, B[548] = 0.193359, C[548] = 1.133301
A[549] = 0.040039, B[549] = 0.554688, C[549] = 0.594727
A[550] = 0.749512, B[550] = 0.834473, C[550] = 1.583984
A[551] = 0.555664, B[551] = 0.658203, C[551] = 1.213867
A[552] = 0.101074, B[552] = 0.985840, C[552] = 1.086914
A[553] = 0.805664, B[553] = 0.283203, C[553] = 1.088867
A[554] = 0.875977, B[554] = 0.830566, C[554] = 1.706543
A[555] = 0.853516, B[555] = 0.847168, C[555] = 1.700684
A[556] = 0.442383, B[556] = 0.594238, C[556] = 1.036621
A[557] = 0.055664, B[557] = 0.064453, C[557] = 0.120117
A[558] = 0.056641, B[558] = 0.011230, C[558] = 0.067871
A[559] = 0.789062, B[559] = 0.746582, C[559] = 1.535645
A[560] = 0.219727, B[560] = 0.276855, C[560] = 0.496582
A[561] = 0.943848, B[561] = 0.635742, C[561] = 1.579590
A[562] = 0.790039, B[562] = 0.979980, C[562] = 1.770020
A[563] = 0.945801, B[563] = 0.108398, C[563] = 1.054199
A[564] = 0.896484, B[564] = 0.828613, C[564] = 1.725098
A[565] = 0.236328, B[565] = 0.614746, C[565] = 0.851074
A[566] = 0.949219, B[566] = 0.913574, C[566] = 1.862793
A[567] = 0.543457, B[567] = 0.839355, C[567] = 1.382812
A[568] = 0.428223, B[568] = 0.211426, C[568] = 0.639648
A[569] = 0.459961, B[569] = 0.385254, C[569] = 0.845215
A[570] = 0.036621, B[570] = 0.164062, C[570] = 0.200684
A[571] = 0.990234, B[571] = 0.009277, C[571] = 0.999512
A[572] = 0.835938, B[572] = 0.225098, C[572] = 1.061035
A[573] = 0.961914, B[573] = 0.272461, C[573] = 1.234375
A[574] = 0.078613, B[574] = 0.725586, C[574] = 0.804199
A[575] = 0.179688, B[575] = 0.299805, C[575] = 0.479492
A[576] = 0.609863, B[576] = 0.313965, C[576] = 0.923828
A[577] = 0.072266, B[577] = 0.857910, C[577] = 0.930176
A[578] = 0.576660, B[578] = 0.828613, C[578] = 1.405273
A[579] = 0.985840, B[579] = 0.937500, C[579] = 1.923340
A[580] = 0.117188, B[580] = 0.829102, C[580] = 0.946289
A[581] = 0.577148, B[581] = 0.838379, C[581] = 1.415527
A[582] = 0.083008, B[582] = 0.656250, C[582] = 0.739258
A[583] = 0.545410, B[583] = 0.489746, C[583] = 1.035156
A[584] = 0.401367, B[584] = 0.507324, C[584] = 0.908691
A[585] = 0.919434, B[585] = 0.824219, C[585] = 1.743652
A[586] = 0.849121, B[586] = 0.571777, C[586] = 1.420898
A[587] = 0.802246, B[587] = 0.324707, C[587] = 1.126953
A[588] = 0.518555, B[588] = 0.200195, C[588] = 0.718750
A[589] = 0.469238, B[589] = 0.791504, C[589] = 1.260742
A[590] = 0.903809, B[590] = 0.427734, C[590] = 1.331543
A[591] = 0.380371, B[591] = 0.248535, C[591] = 0.628906
A[592] = 0.757812, B[592] = 0.335938, C[592] = 1.093750
A[593] = 0.224121, B[593] = 0.237305, C[593] = 0.461426
A[594] = 0.021973, B[594] = 0.527344, C[594] = 0.549316
A[595] = 0.081055, B[595] = 0.668945, C[595] = 0.750000
A[596] = 0.906250, B[596] = 0.729004, C[596] = 1.635254
A[597] = 0.445801, B[597] = 0.367676, C[597] = 0.813477
A[598] = 0.714844, B[598] = 0.007812, C[598] = 0.722656
A[599] = 0.190918, B[599] = 0.101562, C[599] = 0.292480
A[600] = 0.871094, B[600] = 0.591309, C[600] = 1.462402
A[601] = 0.234375, B[601] = 0.094238, C[601] = 0.328613
A[602] = 0.045898, B[602] = 0.418945, C[602] = 0.464844
A[603] = 0.777832, B[603] = 0.498535, C[603] = 1.276367
A[604] = 0.008789, B[604] = 0.558594, C[604] = 0.567383
A[605] = 0.610352, B[605] = 0.959961, C[605] = 1.570312
A[606] = 0.724121, B[606] = 0.050781, C[606] = 0.774902
A[607] = 0.174316, B[607] = 0.391602, C[607] = 0.565918
A[608] = 0.064453, B[608] = 0.365234, C[608] = 0.429688
A[609] = 0.769531, B[609] = 0.242188, C[609] = 1.011719
A[610] = 0.329102, B[610] = 0.143066, C[610] = 0.472168
A[611] = 0.711914, B[611] = 0.670898, C[611] = 1.382812
A[612] = 0.227051, B[612] = 0.443848, C[612] = 0.670898
A[613] = 0.821289, B[613] = 0.007812, C[613] = 0.829102
A[614] = 0.038086, B[614] = 0.859375, C[614] = 0.897461
A[615] = 0.179688, B[615] = 0.845215, C[615] = 1.024902
A[616] = 0.280762, B[616] = 0.551758, C[616] = 0.832520
A[617] = 0.981445, B[617] = 0.168457, C[617] = 1.149902
A[618] = 0.772949, B[618] = 0.018555, C[618] = 0.791504
A[619] = 0.109375, B[619] = 0.938965, C[619] = 1.048340
A[620] = 0.120117, B[620] = 0.323242, C[620] = 0.443359
A[621] = 0.022949, B[621] = 0.262207, C[621] = 0.285156
A[622] = 0.493652, B[622] = 0.030273, C[622] = 0.523926
A[623] = 0.655273, B[623] = 0.232910, C[623] = 0.888184
A[624] = 0.875977, B[624] = 0.841797, C[624] = 1.717773
A[625] = 0.756836, B[625] = 0.863281, C[625] = 1.620117
A[626] = 0.408691, B[626] = 0.265137, C[626] = 0.673828
A[627] = 0.010742, B[627] = 0.300293, C[627] = 0.311035
A[628] = 0.852051, B[628] = 0.747070, C[628] = 1.599121
A[629] = 0.766602, B[629] = 0.600586, C[629] = 1.367188
A[630] = 0.522461, B[630] = 0.789062, C[630] = 1.311523
A[631] = 0.055176, B[631] = 0.739746, C[631] = 0.794922
A[632] = 0.953125, B[632] = 0.732910, C[632] = 1.686035
A[633] = 0.004395, B[633] = 0.215332, C[633] = 0.219727
A[634] = 0.919434, B[634] = 0.488770, C[634] = 1.408203
A[635] = 0.716797, B[635] = 0.105957, C[635] = 0.822754
A[636] = 0.150391, B[636] = 0.541504, C[636] = 0.691895
A[637] = 0.104492, B[637] = 0.224121, C[637] = 0.328613
A[638] = 0.000488, B[638] = 0.090332, C[638] = 0.090820
A[639] = 0.903320, B[639] = 0.340820, C[639] = 1.244141
A[640] = 0.250977, B[640] = 0.719727, C[640] = 0.970703
A[641] = 0.775879, B[641] = 0.129395, C[641] = 0.905273
A[642] = 0.894043, B[642] = 0.145020, C[642] = 1.039062
A[643] = 0.268066, B[643] = 0.094238, C[643] = 0.362305
A[644] = 0.875977, B[644] = 0.927246, C[644] = 1.803223
A[645] = 0.977051, B[645] = 0.932129, C[645] = 1.909180
A[646] = 0.358398, B[646] = 0.500977, C[646] = 0.859375
A[647] = 0.490234, B[647] = 0.778320, C[647] = 1.268555
A[648] = 0.963867, B[648] = 0.499023, C[648] = 1.462891
A[649] = 0.817871, B[649] = 0.377441, C[649] = 1.195312
A[650] = 0.337891, B[650] = 0.574707, C[650] = 0.912598
A[651] = 0.761230, B[651] = 0.682129, C[651] = 1.443359
A[652] = 0.558594, B[652] = 0.560059, C[652] = 1.118652
A[653] = 0.673340, B[653] = 0.916504, C[653] = 1.589844
A[654] = 0.764648, B[654] = 0.175293, C[654] = 0.939941
A[655] = 0.976562, B[655] = 0.385742, C[655] = 1.362305
A[656] = 0.131836, B[656] = 0.463867, C[656] = 0.595703
A[657] = 0.286133, B[657] = 0.856934, C[657] = 1.143066
A[658] = 0.312500, B[658] = 0.808594, C[658] = 1.121094
A[659] = 0.641602, B[659] = 0.046875, C[659] = 0.688477
A[660] = 0.389160, B[660] = 0.403320, C[660] = 0.792480
A[661] = 0.128418, B[661] = 0.891113, C[661] = 1.019531
A[662] = 0.357910, B[662] = 0.263184, C[662] = 0.621094
A[663] = 0.933594, B[663] = 0.375977, C[663] = 1.309570
A[664] = 0.117188, B[664] = 0.483398, C[664] = 0.600586
A[665] = 0.333008, B[665] = 0.064453, C[665] = 0.397461
A[666] = 0.752930, B[666] = 0.429688, C[666] = 1.182617
A[667] = 0.833008, B[667] = 0.891602, C[667] = 1.724609
A[668] = 0.618164, B[668] = 0.167480, C[668] = 0.785645
A[669] = 0.762207, B[669] = 0.603516, C[669] = 1.365723
A[670] = 0.148926, B[670] = 0.027344, C[670] = 0.176270
A[671] = 0.927246, B[671] = 0.634277, C[671] = 1.561523
A[672] = 0.305664, B[672] = 0.697754, C[672] = 1.003418
A[673] = 0.824219, B[673] = 0.758789, C[673] = 1.583008
A[674] = 0.547363, B[674] = 0.955566, C[674] = 1.502930
A[675] = 0.869629, B[675] = 0.369141, C[675] = 1.238770
A[676] = 0.164551, B[676] = 0.691406, C[676] = 0.855957
A[677] = 0.654297, B[677] = 0.627930, C[677] = 1.282227
A[678] = 0.689941, B[678] = 0.177734, C[678] = 0.867676
A[679] = 0.304688, B[679] = 0.241211, C[679] = 0.545898
A[680] = 0.318848, B[680] = 0.382324, C[680] = 0.701172
A[681] = 0.776855, B[681] = 0.181641, C[681] = 0.958496
A[682] = 0.187500, B[682] = 0.509766, C[682] = 0.697266
A[683] = 0.498047, B[683] = 0.687988, C[683] = 1.186035
A[684] = 0.431152, B[684] = 0.362305, C[684] = 0.793457
A[685] = 0.143066, B[685] = 0.717773, C[685] = 0.860840
A[686] = 0.361328, B[686] = 0.740723, C[686] = 1.102051
A[687] = 0.622070, B[687] = 0.463379, C[687] = 1.085449
A[688] = 0.553711, B[688] = 0.152832, C[688] = 0.706543
A[689] = 0.582520, B[689] = 0.041504, C[689] = 0.624023
A[690] = 0.319824, B[690] = 0.548828, C[690] = 0.868652
A[691] = 0.587402, B[691] = 0.467773, C[691] = 1.055176
A[692] = 0.974121, B[692] = 0.344727, C[692] = 1.318848
A[693] = 0.296875, B[693] = 0.563965, C[693] = 0.860840
A[694] = 0.569336, B[694] = 0.578125, C[694] = 1.147461
A[695] = 0.914062, B[695] = 0.950684, C[695] = 1.864746
A[696] = 0.900879, B[696] = 0.278320, C[696] = 1.179199
A[697] = 0.662598, B[697] = 0.008301, C[697] = 0.670898
A[698] = 0.235840, B[698] = 0.434082, C[698] = 0.669922
A[699] = 0.442383, B[699] = 0.682129, C[699] = 1.124512
A[700] = 0.307129, B[700] = 0.726074, C[700] = 1.033203
A[701] = 0.523438, B[701] = 0.696777, C[701] = 1.220215
A[702] = 0.766602, B[702] = 0.302734, C[702] = 1.069336
A[703] = 0.233398, B[703] = 0.278320, C[703] = 0.511719
A[704] = 0.157227, B[704] = 0.978516, C[704] = 1.135742
A[705] = 0.603027, B[705] = 0.411621, C[705] = 1.014648
A[706] = 0.117676, B[706] = 0.660156, C[706] = 0.777832
A[707] = 0.805176, B[707] = 0.152832, C[707] = 0.958008
A[708] = 0.718750, B[708] = 0.677734, C[708] = 1.396484
A[709] = 0.179199, B[709] = 0.185547, C[709] = 0.364746
A[710] = 0.420898, B[710] = 0.122559, C[710] = 0.543457
A[711] = 0.324707, B[711] = 0.458496, C[711] = 0.783203
A[712] = 0.924316, B[712] = 0.972168, C[712] = 1.896484
A[713] = 0.619629, B[713] = 0.170410, C[713] = 0.790039
A[714] = 0.352539, B[714] = 0.208984, C[714] = 0.561523
A[715] = 0.167969, B[715] = 0.304199, C[715] = 0.472168
A[716] = 0.150879, B[716] = 0.713379, C[716] = 0.864258
A[717] = 0.493164, B[717] = 0.314453, C[717] = 0.807617
A[718] = 0.858887, B[718] = 0.643555, C[718] = 1.502441
A[719] = 0.362305, B[719] = 0.642578, C[719] = 1.004883
A[720] = 0.152344, B[720] = 0.116211, C[720] = 0.268555
A[721] = 0.867188, B[721] = 0.110352, C[721] = 0.977539
A[722] = 0.737305, B[722] = 0.466309, C[722] = 1.203613
A[723] = 0.621582, B[723] = 0.277832, C[723] = 0.899414
A[724] = 0.912598, B[724] = 0.935547, C[724] = 1.848145
A[725] = 0.500488, B[725] = 0.480469, C[725] = 0.980957
A[726] = 0.857910, B[726] = 0.112305, C[726] = 0.970215
A[727] = 0.915039, B[727] = 0.552734, C[727] = 1.467773
A[728] = 0.782227, B[728] = 0.326172, C[728] = 1.108398
A[729] = 0.626953, B[729] = 0.115234, C[729] = 0.742188
A[730] = 0.925293, B[730] = 0.608887, C[730] = 1.534180
A[731] = 0.225098, B[731] = 0.189941, C[731] = 0.415039
A[732] = 0.499023, B[732] = 0.348145, C[732] = 0.847168
A[733] = 0.965332, B[733] = 0.277832, C[733] = 1.243164
A[734] = 0.931641, B[734] = 0.410645, C[734] = 1.342285
A[735] = 0.627441, B[735] = 0.615723, C[735] = 1.243164
A[736] = 0.620117, B[736] = 0.038574, C[736] = 0.658691
A[737] = 0.098145, B[737] = 0.306641, C[737] = 0.404785
A[738] = 0.110352, B[738] = 0.741211, C[738] = 0.851562
A[739] = 0.231445, B[739] = 0.383301, C[739] = 0.614746
A[740] = 0.147949, B[740] = 0.146484, C[740] = 0.294434
A[741] = 0.001953, B[741] = 0.861328, C[741] = 0.863281
A[742] = 0.533691, B[742] = 0.426758, C[742] = 0.960449
A[743] = 0.068359, B[743] = 0.500000, C[743] = 0.568359
A[744] = 0.385254, B[744] = 0.713379, C[744] = 1.098633
A[745] = 0.453125, B[745] = 0.697754, C[745] = 1.150879
A[746] = 0.479492, B[746] = 0.158691, C[746] = 0.638184
A[747] = 0.932617, B[747] = 0.775879, C[747] = 1.708496
A[748] = 0.598633, B[748] = 0.232422, C[748] = 0.831055
A[749] = 0.265625, B[749] = 0.032715, C[749] = 0.298340
A[750] = 0.277344, B[750] = 0.652832, C[750] = 0.930176
A[751] = 0.939941, B[751] = 0.411621, C[751] = 1.351562
A[752] = 0.447754, B[752] = 0.143555, C[752] = 0.591309
A[753] = 0.265137, B[753] = 0.313965, C[753] = 0.579102
A[754] = 0.508301, B[754] = 0.284668, C[754] = 0.792969
A[755] = 0.881348, B[755] = 0.754883, C[755] = 1.636230
A[756] = 0.738770, B[756] = 0.270508, C[756] = 1.009277
A[757] = 0.602539, B[757] = 0.740723, C[757] = 1.343262
A[758] = 0.129883, B[758] = 0.340820, C[758] = 0.470703
A[759] = 0.226074, B[759] = 0.732910, C[759] = 0.958984
A[760] = 0.151855, B[760] = 0.061035, C[760] = 0.212891
A[761] = 0.954590, B[761] = 0.003418, C[761] = 0.958008
A[762] = 0.086914, B[762] = 0.075684, C[762] = 0.162598
A[763] = 0.885742, B[763] = 0.856445, C[763] = 1.742188
A[764] = 0.611328, B[764] = 0.804199, C[764] = 1.415527
A[765] = 0.037598, B[765] = 0.061523, C[765] = 0.099121
A[766] = 0.797363, B[766] = 0.923340, C[766] = 1.720703
A[767] = 0.459961, B[767] = 0.193359, C[767] = 0.653320
A[768] = 0.130371, B[768] = 0.059570, C[768] = 0.189941
A[769] = 0.690918, B[769] = 0.987793, C[769] = 1.678711
A[770] = 0.966797, B[770] = 0.177246, C[770] = 1.144043
A[771] = 0.983887, B[771] = 0.493164, C[771] = 1.477051
A[772] = 0.257812, B[772] = 0.225098, C[772] = 0.482910
A[773] = 0.922363, B[773] = 0.503418, C[773] = 1.425781
A[774] = 0.696777, B[774] = 0.665039, C[774] = 1.361816
A[775] = 0.552734, B[775] = 0.543457, C[775] = 1.096191
A[776] = 0.411621, B[776] = 0.833984, C[776] = 1.245605
A[777] = 0.526367, B[777] = 0.167480, C[777] = 0.693848
A[778] = 0.953613, B[778] = 0.924316, C[778] = 1.877930
A[779] = 0.061035, B[779] = 0.706055, C[779] = 0.767090
A[780] = 0.741699, B[780] = 0.199219, C[780] = 0.940918
A[781] = 0.699707, B[781] = 0.004395, C[781] = 0.704102
A[782] = 0.144531, B[782] = 0.169434, C[782] = 0.313965
A[783] = 0.683105, B[783] = 0.143555, C[783] = 0.826660
A[784] = 0.177246, B[784] = 0.181152, C[784] = 0.358398
A[785] = 0.002930, B[785] = 0.011719, C[785] = 0.014648
A[786] = 0.801758, B[786] = 0.122559, C[786] = 0.924316
A[787] = 0.597168, B[787] = 0.641602, C[787] = 1.238770
A[788] = 0.348145, B[788] = 0.504883, C[788] = 0.853027
A[789] = 0.630859, B[789] = 0.212402, C[789] = 0.843262
A[790] = 0.026367, B[790] = 0.494629, C[790] = 0.520996
A[791] = 0.702637, B[791] = 0.637695, C[791] = 1.340332
A[792] = 0.937988, B[792] = 0.436523, C[792] = 1.374512
A[793] = 0.330566, B[793] = 0.184570, C[793] = 0.515137
A[794] = 0.423340, B[794] = 0.754395, C[794] = 1.177734
A[795] = 0.411621, B[795] = 0.334961, C[795] = 0.746582
A[796] = 0.550781, B[796] = 0.326172, C[796] = 0.876953
A[797] = 0.622070, B[797] = 0.553223, C[797] = 1.175293
A[798] = 0.455078, B[798] = 0.129395, C[798] = 0.584473
A[799] = 0.727051, B[799] = 0.403809, C[799] = 1.130859
A[800] = 0.823730, B[800] = 0.904297, C[800] = 1.728027
A[801] = 0.845703, B[801] = 0.709473, C[801] = 1.555176
A[802] = 0.973633, B[802] = 0.034668, C[802] = 1.008301
A[803] = 0.318848, B[803] = 0.992188, C[803] = 1.311035
A[804] = 0.056641, B[804] = 0.806152, C[804] = 0.862793
A[805] = 0.249023, B[805] = 0.347656, C[805] = 0.596680
A[806] = 0.143555, B[806] = 0.566406, C[806] = 0.709961
A[807] = 0.803223, B[807] = 0.424316, C[807] = 1.227539
A[808] = 0.947754, B[808] = 0.972656, C[808] = 1.920410
A[809] = 0.527344, B[809] = 0.869141, C[809] = 1.396484
A[810] = 0.731934, B[810] = 0.850586, C[810] = 1.582520
A[811] = 0.291504, B[811] = 0.208008, C[811] = 0.499512
A[812] = 0.443359, B[812] = 0.771484, C[812] = 1.214844
A[813] = 0.475586, B[813] = 0.196777, C[813] = 0.672363
A[814] = 0.510742, B[814] = 0.589844, C[814] = 1.100586
A[815] = 0.834473, B[815] = 0.211914, C[815] = 1.046387
A[816] = 0.217773, B[816] = 0.958496, C[816] = 1.176270
A[817] = 0.856445, B[817] = 0.984863, C[817] = 1.841309
A[818] = 0.088379, B[818] = 0.417969, C[818] = 0.506348
A[819] = 0.284668, B[819] = 0.726562, C[819] = 1.011230
A[820] = 0.323242, B[820] = 0.129395, C[820] = 0.452637
A[821] = 0.041016, B[821] = 0.805664, C[821] = 0.846680
A[822] = 0.128906, B[822] = 0.504395, C[822] = 0.633301
A[823] = 0.198242, B[823] = 0.889160, C[823] = 1.087402
A[824] = 0.310547, B[824] = 0.454102, C[824] = 0.764648
A[825] = 0.177734, B[825] = 0.452148, C[825] = 0.629883
A[826] = 0.248047, B[826] = 0.332520, C[826] = 0.580566
A[827] = 0.767578, B[827] = 0.014648, C[827] = 0.782227
A[828] = 0.552734, B[828] = 0.096680, C[828] = 0.649414
A[829] = 0.709961, B[829] = 0.236816, C[829] = 0.946777
A[830] = 0.942383, B[830] = 0.333008, C[830] = 1.275391
A[831] = 0.124512, B[831] = 0.703125, C[831] = 0.827637
A[832] = 0.413086, B[832] = 0.918945, C[832] = 1.332031
A[833] = 0.621094, B[833] = 0.806641, C[833] = 1.427734
A[834] = 0.708008, B[834] = 0.785156, C[834] = 1.493164
A[835] = 0.042480, B[835] = 0.255371, C[835] = 0.297852
A[836] = 0.676758, B[836] = 0.879395, C[836] = 1.556152
A[837] = 0.557129, B[837] = 0.354492, C[837] = 0.911621
A[838] = 0.061035, B[838] = 0.885742, C[838] = 0.946777
A[839] = 0.618164, B[839] = 0.498535, C[839] = 1.116699
A[840] = 0.723633, B[840] = 0.713379, C[840] = 1.437012
